轮次,因子,分类,公式,含义,IC,IC_IR,Top组年化,市场年化,超额年化,回撤,Sharpe,Calmar,判定
Round1,amt_log,流动性,"-log(mean(AMT,20)+1)",小成交额(20日均),0.0647,0.4159,0.1283,0.0895,0.0339,-0.161,0.4324,0.2108,Calmar=0.21<0.5
Round1,amp20,价格结构,"-mean((H-L)/C,20)",20日平均振幅(反向),0.0645,0.3225,-0.0268,0.0903,-0.1287,-0.7143,-0.9732,-0.1801,超额为负
Round1,turn_vol,流动性,"-std(TR,20)",换手率稳定性,0.0627,0.3838,-0.009,0.0895,-0.1086,-0.659,-0.9636,-0.1648,超额为负
Round1,vol20,波动,"-std(ret,20)",低波动(20日),0.0613,0.3274,-0.0341,0.0895,-0.1343,-0.7287,-1.0536,-0.1843,超额为负
Round1,hl_range,价格结构,-(H-L)/C,日内振幅(反向),0.0583,0.3793,-0.0485,0.0895,-0.1417,-0.7374,-1.4142,-0.1922,超额为负
Round1,turn20,流动性,"-mean(TR,20)",低换手率,0.0566,0.3103,-0.0123,0.0895,-0.1131,-0.6752,-0.9545,-0.1676,超额为负
Round1,vol60,波动,"-std(ret,60)",低波动(60日),0.0566,0.2756,-0.0222,0.0895,-0.1244,-0.7071,-0.9201,-0.176,超额为负
Round1,intraday20,日内,"-mean((C-O)/O,20)",20日平均日内涨跌(反向),-0.0559,-0.3999,-0.251,0.0895,-0.3125,-0.9601,-2.7424,-0.3255,超额为负
Round1,mom60,动量,"mean(ret,60)",60日动量,-0.0511,-0.3196,-0.195,0.0895,-0.2608,-0.9343,-1.6658,-0.2792,超额为负
Round1,mom20_rev,反转,"-mean(ret,20)",20日反转,0.0502,0.3317,-0.0053,0.0895,-0.0788,-0.6061,-0.6293,-0.1301,超额为负
Round1,corr_cp20,量价,"-corr(C,V,20)",价量相关性,0.0484,0.5094,0.0485,0.0895,-0.0375,-0.356,-0.4857,-0.1052,超额为负
Round1,amt_chg,流动性,"mean(AMT,5)/mean(AMT,60)",成交额放量,-0.0481,-0.3995,-0.2207,0.0895,-0.2863,-0.9452,-3.0441,-0.3029,超额为负
Round1,turn_chg,流动性,"mean(TR,5)/mean(TR,60)",换手率放大,-0.0429,-0.4014,-0.1997,0.0895,-0.2657,-0.93,-3.1785,-0.2857,超额为负
Round1,vol_ret_div,量价,"-std(ret,20)/mean(TR,20)",单位换手的波动,-0.0373,-0.2693,-0.186,0.0895,-0.244,-0.9132,-2.5313,-0.2672,超额为负
Round1,price_pos60,反转,"-pos(C,60)",价格在60日区间的相对位置(反向),0.0358,0.242,-0.0522,0.0895,-0.127,-0.7342,-1.4183,-0.173,超额为负
Round1,corr_vr60,量价,"-corr(V,ret,60)",量价相关性(60日),0.0273,0.3169,0.0132,0.0895,-0.0716,-0.5042,-1.174,-0.1421,超额为负
Round1,vwap_dev20,日内,"-mean((C-VWAP)/VWAP,20)",20日平均VWAP偏离(反向),-0.0265,-0.2164,-0.2071,0.09,-0.2765,-0.9379,-3.3197,-0.2949,超额为负
Round1,price_pos20,反转,"-pos(C,20)",价格在20日区间的相对位置(反向),0.0264,0.1954,-0.0566,0.0895,-0.1308,-0.7414,-1.4525,-0.1764,超额为负
Round1,vol_ratio,波动,"-std(ret,20)/std(ret,60)",短期波动相对长期(低=波动收敛),0.0259,0.2814,-0.0026,0.0895,-0.0844,-0.5384,-1.4499,-0.1567,超额为负
Round1,corr_vr20,量价,"-corr(V,ret,20)",量价相关性(20日),0.0251,0.2922,-0.0171,0.0895,-0.0989,-0.6069,-1.9774,-0.163,超额为负
Round1,rev_5d,反转,"-mean(ret,5)",5日反转,0.0243,0.1721,-0.0754,0.0895,-0.1444,-0.7645,-1.2846,-0.1889,超额为负
Round1,down_shadow,价格结构,"mean((min(O,C)-L)/(H-L),20)",20日平均下影线,0.0226,0.2285,-0.0275,0.0903,-0.1159,-0.6714,-1.9035,-0.1726,超额为负
Round1,vol_chg,波动,"-std(ret,20)/std(ret,20).shift(20)",波动率变化(低=波动下降),0.0224,0.2597,-0.0101,0.0895,-0.0918,-0.561,-1.765,-0.1636,超额为负
Round1,gap20,跳空,"-mean((O-PC)/PC,20)",20日平均跳空(反向),-0.0198,-0.2664,-0.1577,0.0895,-0.2206,-0.8815,-2.9727,-0.2503,|IC|<0.02
Round1,gap,跳空,-(O-PC)/PC,跳空幅度(反向),-0.0175,-0.2341,-0.1828,0.0895,-0.2478,-0.9131,-3.5616,-0.2714,|IC|<0.02
Round1,mf_xl_vol,资金流,"-std(MFX,20)",资金流稳定性,0.0116,0.1824,0.0069,0.095,-0.0811,-0.5347,-1.9262,-0.1517,|IC|<0.02
Round1,intraday,日内,-(C-O)/O,日内涨跌(反向),-0.0112,-0.0859,-0.1416,0.0895,-0.2123,-0.8785,-2.2424,-0.2416,|IC|<0.02
Round1,upper_shadow,价格结构,"-(H-max(O,C))/(H-L)",上影线占比(反向),0.01,0.1226,-0.0198,0.0895,-0.1036,-0.6156,-2.0224,-0.1683,|IC|<0.02
Round1,mf_xl20,资金流,"mean(MFX,20)",大单特大单净流入占比(20日),-0.0089,-0.1336,-0.0443,0.095,-0.1327,-0.7244,-2.6098,-0.1832,|IC|<0.02
Round1,mf_net_trd,资金流,"delta(mean(MFN,10),10)",净流入趋势,0.0075,0.0836,0.033,0.0954,-0.0634,-0.4582,-0.9107,-0.1384,|IC|<0.02
Round1,mf_net10,资金流,"mean(MFN,10)",净流入占比(10日),0.0073,0.072,0.0581,0.0948,-0.0467,-0.3775,-0.4766,-0.1237,|IC|<0.02
Round1,mf_xl10,资金流,"mean(MFX,10)",大单特大单净流入占比(10日),-0.0069,-0.1054,-0.0423,0.0948,-0.1307,-0.7227,-2.6218,-0.1808,|IC|<0.02
Round1,mf_xl5,资金流,"mean(MFX,5)",大单特大单净流入占比(5日),-0.0063,-0.0946,-0.0334,0.0946,-0.1221,-0.697,-2.4624,-0.1751,|IC|<0.02
Round1,rev_1d,反转,-ret,1日反转,0.0057,0.0421,-0.1214,0.0895,-0.1912,-0.8407,-1.9616,-0.2274,|IC|<0.02
Round1,lower_shadow,价格结构,"(min(O,C)-L)/(H-L)",下影线占比,0.0038,0.0478,-0.0448,0.0895,-0.1278,-0.6887,-2.3033,-0.1855,|IC|<0.02
Round1,mf_net20,资金流,"mean(MFN,20)",净流入占比(20日),0.0036,0.034,0.0271,0.095,-0.0739,-0.5193,-0.7255,-0.1423,|IC|<0.02
Round1,vwap_dev,日内,-(C-VWAP)/VWAP,收盘相对VWAP偏离(反向),-0.0033,-0.0262,-0.1357,0.0895,-0.209,-0.8713,-2.4615,-0.2399,|IC|<0.02
Round1,mf_xl_trd,资金流,"delta(mean(MFX,10),10)",资金流趋势(近10日减前10日),-0.002,-0.038,-0.0056,0.0954,-0.0946,-0.6023,-2.3874,-0.1571,|IC|<0.02
Round1,close_pos,价格结构,-(C-L)/(H-L),收盘在日内区间位置(反向),-0.0017,-0.0152,-0.0651,0.0895,-0.1485,-0.7498,-2.0236,-0.198,|IC|<0.02
Round2,ln_mktcap,市值,-log(MC),小市值(对数总市值),0.0258,0.1386,0.1548,0.0895,0.0688,-0.1967,,0.3499,Calmar=0.35<0.5
Round2,amt_log10,流动性,"-log(mean(AMT,10)+1)",小成交额(10日),0.0707,0.4575,0.1322,0.0895,0.0382,-0.1546,,0.2469,Calmar=0.25<0.5
Round2,amt_std20,流动性,"-std(AMT,20)",成交额稳定性(反向),0.0736,0.5108,0.1298,0.0895,0.0371,-0.1673,,0.2217,Calmar=0.22<0.5
Round2,amt_log20,流动性,"-log(mean(AMT,20)+1)",小成交额(20日),0.0647,0.4159,0.1283,0.0895,0.0339,-0.161,,0.2108,Calmar=0.21<0.5
Round2,amt_log3,流动性,"-log(mean(AMT,3)+1)",小成交额(3日),0.0749,0.4899,0.12,0.0895,0.0269,-0.1784,,0.1506,Calmar=0.15<0.5
Round2,amt_log5,流动性,"-log(mean(AMT,5)+1)",小成交额(5日),0.0736,0.4792,0.1179,0.0895,0.0251,-0.1636,,0.1535,Calmar=0.15<0.5
Round2,amt_log40,流动性,"-log(mean(AMT,40)+1)",小成交额(40日),0.0569,0.3678,0.1178,0.0895,0.0236,-0.1567,,0.1505,Calmar=0.15<0.5
Round2,amt_log60,流动性,"-log(mean(AMT,60)+1)",小成交额(60日),0.0523,0.3416,0.1101,0.0895,0.0163,-0.1518,,0.1072,Calmar=0.11<0.5
Round2,amt_log120,流动性,"-log(mean(AMT,120)+1)",小成交额(120日),0.044,0.2954,0.1021,0.0895,0.0089,-0.1645,,0.0544,Calmar=0.05<0.5
Round2,mix_amt_rev,交叉,0.5*rank(amt_log20)+0.5*rank(rev_5d),小成交额与反转等权,0.0623,0.432,0.0759,0.0895,-0.0094,-0.1806,,-0.0521,超额为负
Round2,ix_amt_mfxl,交叉,rank(amt_log20)*rank(mfxl20),小成交额 x 资金流,0.0353,0.3141,0.0883,0.095,-0.0095,-0.1905,,-0.0498,超额为负
Round2,ix_amt_rev5,交叉,rank(amt_log20)*rank(rev_5d),小成交额 x 反转,0.0679,0.4709,0.0749,0.0895,-0.0104,-0.1825,,-0.0568,超额为负
Round2,ix_amt_mom20,交叉,rank(amt_log20)*rank(mom20),小成交额 x 动量,0.02,0.1434,0.0639,0.0895,-0.0305,-0.2582,,-0.118,超额为负
Round2,ix_amt_turnmc,交叉,rank(amt_log20)*rank(turnmc20),小成交额 x 低换手,0.0674,0.4476,0.0649,0.0895,-0.0306,-0.2849,,-0.1075,超额为负
Round2,vol_price_corr,量价,"-corr(V,C,20)",量价相关(成交量vs价格),0.0484,0.5094,0.0485,0.0895,-0.0375,-0.356,,-0.1052,超额为负
Round2,amt_cv20,流动性,"-std(AMT,20)/mean(AMT,20)",成交额变异系数(反向),0.0433,0.602,0.0469,0.0895,-0.0399,-0.3501,,-0.114,超额为负
Round2,amt_price_corr,量价,"-corr(AMT,C,20)",额价相关,0.0495,0.5008,0.042,0.0895,-0.0457,-0.4012,,-0.114,超额为负
Round2,mfnet10,其他,(见代码),mfnet10,0.0073,0.072,0.0581,0.0948,-0.0467,-0.3775,,-0.1237,|IC|<0.02
Round2,mfnet5,资金流,"mean(MFN,5)",净流入(5日),0.0076,0.0728,0.047,0.0946,-0.055,-0.4124,,-0.1333,|IC|<0.02
Round2,mfnet20,资金流,"mean(MFN,20)",净流入(20日),0.0036,0.034,0.0271,0.095,-0.0739,-0.5193,,-0.1423,|IC|<0.02
Round2,mfnet_cons20,资金流,"mean(MFN>0,20)",净流入为正天数占比,0.0056,0.0601,0.0235,0.0945,-0.0757,-0.524,,-0.1445,|IC|<0.02
Round2,ix_mfxl_rev,交叉,rank(mfxl10)*rank(rev_5d),资金流 x 反转,0.0289,0.3203,0.0056,0.0948,-0.08,-0.5537,,-0.1445,超额为负
Round2,mfxl_std20,资金流,"-std(MFX,20)",资金流稳定性,0.0116,0.1824,0.0069,0.095,-0.0811,-0.5347,,-0.1517,|IC|<0.02
Round2,mfxl_pos60,资金流,"pos(MFX,60)",资金流区间位置(60日),0.0091,0.1521,0.0082,0.0953,-0.0819,-0.5334,,-0.1536,|IC|<0.02
Round2,turnmc_chg,流动性,"-mean(TR,5)/mean(TR,60)",换手率变化(反向),0.0429,0.4014,-0.0069,0.0895,-0.0849,-0.5643,,-0.1505,超额为负
Round2,mfxl_min20,资金流,"min(MFX,20)",20日最大净流出,-0.0053,-0.1012,0.0032,0.095,-0.0862,-0.5639,,-0.1528,|IC|<0.02
Round2,mfxl_cons20,资金流,"mean(MFX>0,20)",20日净流入为正的天数占比,-0.0004,-0.0064,0.0051,0.0945,-0.0878,-0.5801,,-0.1513,|IC|<0.02
Round2,mfxl_cons60,资金流,"mean(MFX>0,60)",60日净流入为正的天数占比,0.0059,0.082,0.0058,0.0945,-0.0885,-0.5879,,-0.1505,|IC|<0.02
Round2,up_dn_vol,波动结构,"-mean(ret+,20)/mean(ret-,20)",上行波动/下行波动(反向),0.0401,0.2825,-0.012,0.0895,-0.0901,-0.6264,,-0.1438,超额为负
Round2,mfxl_pos20,资金流,"pos(MFX,20)",资金流区间位置,0.0085,0.1509,-0.0027,0.095,-0.091,-0.5711,,-0.1593,|IC|<0.02
Round2,mfxl_trd20,资金流,"delta(mean(MFX,10),10)",资金流趋势,-0.002,-0.038,-0.0056,0.0954,-0.0946,-0.6023,,-0.1571,|IC|<0.02
Round2,mfnet_pos20,资金流,"pos(MFN,20)",净流入区间位置,-0.0038,-0.0385,-0.0182,0.095,-0.1065,-0.6447,,-0.1651,|IC|<0.02
Round2,mfnet60,资金流,"mean(MFN,60)",净流入(60日),0.0001,0.0008,-0.0112,0.0953,-0.1065,-0.6626,,-0.1607,|IC|<0.02
Round2,mfxl_div,资金流,"mean(MFX,5)/(std(MFX,20)+1e-8)",资金流强度/波动,-0.0078,-0.1144,-0.0165,0.0951,-0.1072,-0.6545,,-0.1638,|IC|<0.02
Round2,turnmc_std20,流动性,"-std(TR,20)",换手率稳定性(反向),0.0627,0.3838,-0.009,0.0895,-0.1086,-0.659,,-0.1648,超额为负
Round2,mfxl3,资金流,"mean(MFX,3)",资金流(3日),-0.0054,-0.0819,-0.0193,0.0946,-0.109,-0.6457,,-0.1688,|IC|<0.02
Round2,turnmc10,流动性,"-log(mean(TR,10)+1e-8)",低换手率(10日),0.0616,0.3447,-0.0104,0.0895,-0.1109,-0.673,,-0.1648,超额为负
Round2,turnmc20,流动性,"-log(mean(TR,20)+1e-8)",低换手率(20日),0.0566,0.3103,-0.0123,0.0895,-0.1131,-0.6752,,-0.1676,超额为负
Round2,amt_rank20,流动性,"-pos(AMT,20)",成交额在区间位置(反向),0.0263,0.2829,-0.0384,0.0895,-0.1155,-0.654,,-0.1766,超额为负
Round2,turnmc_rank20,流动性,"-pos(TR,20)",换手率区间位置(反向),0.0248,0.2869,-0.0376,0.0895,-0.1156,-0.6485,,-0.1783,超额为负
Round2,ret_vol20,交叉,"-std(ret,20)*log(mean(AMT,20)+1)",低波动 x 成交额,0.0648,0.35,-0.0157,0.0895,-0.1164,-0.6736,,-0.1728,超额为负
Round2,turnmc5,流动性,"-log(mean(TR,5)+1e-8)",低换手率(5日),0.0634,0.3622,-0.018,0.0895,-0.1174,-0.691,,-0.1699,超额为负
Round2,mfxl60,资金流,"mean(MFX,60)",资金流(60日),-0.0016,-0.0232,-0.0281,0.0953,-0.1189,-0.6841,,-0.1738,|IC|<0.02
Round2,turn_amp,交叉,"-mean(TR,20)*mean((H-L)/C,20)",换手 x 振幅(反向),0.0618,0.3137,-0.0173,0.0903,-0.12,-0.6959,,-0.1724,超额为负
Round2,mfxl5,资金流,"mean(MFX,5)",资金流(5日),-0.0063,-0.0946,-0.0334,0.0946,-0.1221,-0.697,,-0.1751,|IC|<0.02
Round2,turnmc60,流动性,"-log(mean(TR,60)+1e-8)",低换手率(60日),0.0449,0.2429,-0.0225,0.0895,-0.1228,-0.7011,,-0.1752,超额为负
Round2,mfxl_str,资金流,"mean(MFX,20)*mean(MFX>0,20)",资金流强度x持续性,-0.0095,-0.1624,-0.0415,0.095,-0.1304,-0.7186,,-0.1815,|IC|<0.02
Round2,mfxl10,资金流,"mean(MFX,10)",资金流(10日),-0.0069,-0.1054,-0.0423,0.0948,-0.1307,-0.7227,,-0.1808,|IC|<0.02
Round2,mfxl20,资金流,"mean(MFX,20)",资金流(20日),-0.0089,-0.1336,-0.0443,0.095,-0.1327,-0.7244,,-0.1832,|IC|<0.02
Round2,body_ratio,价格结构,"mean(|C-O|/(H-L),20)",实体占比,-0.005,-0.0614,-0.0635,0.0903,-0.138,-0.7313,,-0.1887,|IC|<0.02
Round2,close_high,价格结构,"-mean((H-C)/(H-L),20)",收盘距最高(反向),-0.0104,-0.0851,-0.1103,0.0903,-0.1938,-0.8445,,-0.2295,|IC|<0.02
Round2,close_low,价格结构,"mean((C-L)/(H-L),20)",收盘距最低,-0.0104,-0.0851,-0.1103,0.0903,-0.1938,-0.8445,,-0.2295,|IC|<0.02
Round2,ret_pos20,动量,"pos(C,20)",价格位置(正向),-0.0264,-0.1954,-0.1294,0.0895,-0.21,-0.8719,,-0.2408,超额为负
Round2,accel,动量,"mean(ret,5)-mean(ret,20)",动量加速度,-0.007,-0.0535,-0.1411,0.0895,-0.2134,-0.8824,,-0.2419,|IC|<0.02
Round2,mfxl_max20,资金流,"max(MFX,20)",20日最大净流入,-0.0169,-0.2974,-0.1472,0.095,-0.2205,-0.8826,,-0.2499,|IC|<0.02
Round3,turnmc_std20,流动性,"-std(TR,20)",换手率稳定性(反向),0.0734,0.5524,0.1161,0.0895,0.0234,-0.1745,,0.1339,Calmar=0.13<0.5
Round3,turn_vol,流动性,"-std(TR,20)",换手率稳定性,0.0734,0.5524,0.1161,0.0895,0.0234,-0.1745,,0.1339,Calmar=0.13<0.5
Round3,amt_cv20,流动性,"-std(AMT,20)/mean(AMT,20)",成交额变异系数(反向),0.0465,0.6921,0.0861,0.0895,0.0008,-0.1642,,0.0047,Calmar=0.00<0.5
Round3,vol_chg,波动,"-std(ret,20)/std(ret,20).shift(20)",波动率变化(低=波动下降),0.0201,0.1489,0.0728,0.0895,-0.0122,-0.2001,,-0.061,超额为负
Round3,turn20,流动性,"-mean(TR,20)",低换手率,0.0651,0.417,0.0674,0.0895,-0.0274,-0.2546,,-0.1075,超额为负
