expr,window,cost,ic,ic_ir,ann_ex,dd,calmar,sharpe,last_yr,turn,neg_yr,passed
"ts_std20(mul(cs_demean(hl_ratio), ts_mean5(cs_demean(turn_ratio))))",full,0.004,0.06508668779188274,0.7420230880682879,0.02403913655560297,-0.09117362775096327,0.26366326698401,0.5278476192377433,0.008993951410706691,0.34037676333543526,1,False
"div(add(mul(mul(turn_ratio, ts_mean5(ts_std20(cs_rank(log(turnover))))), ts_std20(add(mul(turn_ratio, ts_mean5(ts_mean20(volume))), mul(turn_ratio, corr20(log(cs_demean(turn_ratio)), mktcap))))), close), ts_std60(cs_rank(open)))",full,0.004,0.07242703527258565,0.6743854109703036,0.058096975341767276,-0.1210127600299421,0.48008966432459177,0.7910604257224756,0.009117254109728856,0.4098817363816519,1,False
"mul(ts_std20(cs_demean(log(amplitude))), ts_std20(cs_rank(open)))",full,0.004,0.05349297833291446,0.6190786338909441,0.0016635584897082278,-0.26303921096869254,0.006324374543178766,0.05796737261690981,0.12871416495832033,0.23346129706213822,4,False
"ts_mean60(mul(ln_mktcap, min(intraday, div(add(mul(mul(turn_ratio, ts_mean5(ts_std20(cs_rank(log(turnover))))), ts_std20(add(mul(turn_ratio, ts_mean5(ts_mean20(volume))), mul(turn_ratio, corr20(log(cs_demean(turn_ratio)), mktcap))))), close), ts_std60(cs_rank(open))))))",full,0.004,0.06411315421519606,0.5075412508628074,0.022250507493566607,-0.12106548233229975,0.1837890294154494,0.3129285707137695,0.06251466356011015,0.3324650251416873,3,False
"ts_rank200(ts_mean10(mul(ts_std20(cs_demean(add(mul(ret, mul(turn_ratio, ts_mean5(ts_mean20(volume)))), close))), turn_ratio)))",full,0.004,0.05240825265866354,0.5266195287478401,-0.03167600679571625,-0.3275255104331194,-0.09671309802350336,-0.5165314665750712,-0.029835342537463894,0.3541240556424808,8,False
"add(ts_sum100(mul(turnover, intraday)), div(add(mul(mul(turn_ratio, ts_mean5(ts_std20(cs_rank(log(turnover))))), ts_std20(add(mul(turn_ratio, ts_mean5(ts_mean20(volume))), mul(turn_ratio, corr20(log(cs_demean(turn_ratio)), mktcap))))), close), ts_std60(cs_rank(open))))",full,0.004,0.06412944329358239,0.483332558397291,0.028485565669132074,-0.20094871429343442,0.14175540146793952,0.4243707786129241,-0.03311664445563545,0.2632418850686774,4,False
"ts_rank200(ts_std20(mul(cs_demean(hl_ratio), ts_mean5(cs_demean(turn_ratio)))))",full,0.004,0.041239910077426056,0.5673617592724667,-0.02736231775595943,-0.2795362087186961,-0.09788469937894442,-0.6282195729046551,-0.01648666718891667,0.439814402669739,8,False
"corr100(hl_ratio, intraday)",full,0.004,0.04956781965183758,0.49473531378981367,0.04959499086915331,-0.161771843313135,0.3065736895459265,0.6968330580964331,0.026848217132436902,0.1993708983687699,1,False
"neg(log(ts_mean60(div(add(mul(mul(turn_ratio, ts_mean5(ts_std20(cs_rank(log(turnover))))), ts_std20(add(mul(turn_ratio, ts_mean5(ts_mean20(volume))), mul(turn_ratio, corr20(log(cs_demean(turn_ratio)), mktcap))))), close), ts_std60(cs_rank(open))))))",full,0.004,0.04836252981982968,0.4543267504162852,0.08849235429072189,-0.09680538024545071,0.914126405643456,1.2558790984312014,0.05117647864940644,0.15671071633945277,0,True
ts_mean60(cs_rank(overnight)),full,0.004,0.040966155670316313,0.47747810262444584,0.025225764539826168,-0.11560195369134196,0.21821226834261934,0.4212779024146313,-0.005185493928065776,0.21853706227933128,3,False
ts_sum100(cs_rank(overnight)),full,0.004,0.041083823253558645,0.45623033008261865,0.040870836180317616,-0.10789456086503424,0.3788034897462822,0.6369460342287494,0.040722444371175115,0.1610249098784155,3,False
"ts_min100(mul(cs_demean(hl_ratio), ts_mean100(cs_demean(turn_ratio))))",full,0.004,0.023617511874162812,0.49309241923527236,0.005900381211428218,-0.06537748820402156,0.09025096212040261,0.182687645801583,0.027672726568357398,0.10291913927549541,3,False
"div(turnover, ts_min100(corr100(mul(ts_std20(cs_demean(log(amplitude))), ts_std20(cs_rank(open))), ts_std20(ln_mktcap))))",full,0.004,0.04208119811586604,0.4702721939437664,-0.06829088783037185,-0.4648282998584521,-0.14691637288686502,-1.4263453497233853,-0.04000125240875929,0.1849231505400875,8,False
"ts_rank200(ts_mean10(ts_std20(mul(ts_std20(cs_demean(add(mul(ret, mul(turn_ratio, ts_mean5(ts_mean20(volume)))), close))), turn_ratio))))",full,0.004,0.04446079265659429,0.47596781959058987,-0.004541839827890248,-0.17668511252998997,-0.02570584336651075,-0.05147145729958975,-0.028642411186303063,0.3098643266052684,6,False
"min(ts_std20(cs_demean(log(amplitude))), ts_std20(cs_rank(open)))",full,0.004,0.0453841077962272,0.4990578475439299,-0.006042529583243028,-0.2935445749873553,-0.020584708756764845,-0.05444937534682801,0.11261104028380142,0.19618950795674084,4,False
"add(ts_sum100(mul(turnover, intraday)), ts_delta120(mul(ts_std20(cs_demean(log(amplitude))), turn_ratio)))",full,0.004,0.05825063580681675,0.4458205632552008,0.002510289995603099,-0.2327000250297252,0.010787665344180488,0.07074682552534564,-0.01771891201049336,0.23119150346822553,4,False
"ts_mean60(mul(ln_mktcap, min(intraday, hl_ratio)))",full,0.004,0.061663088399782635,0.4452348573273071,0.03189894668246995,-0.16017445253705387,0.19915127648143907,0.37649016643530914,0.10267152507139365,0.30695630305882554,3,False
"ts_mean60(mul(div(turnover, ts_min100(corr100(up_shadow, ts_std20(ln_mktcap)))), min(intraday, hl_ratio)))",full,0.004,0.04158375157783986,0.4741882610647013,-0.05798290954726548,-0.4288908380403432,-0.1351926980119155,-1.3203053752582536,-0.01695952083147656,0.1938673880771589,8,False
"div(turnover, ts_min100(corr100(up_shadow, ts_std20(ln_mktcap))))",full,0.004,0.050219052346834915,0.4661101552698156,-0.02446650263605843,-0.21291421721970538,-0.11491248896174715,-0.6536343174950359,-0.05571584170850019,0.18566303223819075,7,False
"corr100(hl_ratio, ret)",full,0.004,0.045913937512416604,0.46035273679773275,0.04743802835455457,-0.1195756849542583,0.3967196873904691,0.6952643669653465,0.015720798884754306,0.2019165949748354,0,False
ts_mean120(cs_rank(overnight)),full,0.004,0.039274470210215066,0.4301048038289928,0.03212953051717693,-0.11608324951777138,0.2767800750810147,0.5056763185649235,0.05421721669124113,0.1426077367842264,3,False
"cs_scale(add(corr200(mul(high, true_range), intraday), ts_mean60(min(amplitude, turn_ratio))))",full,0.004,0.043458821163479135,0.4370130073498344,0.036246135224362375,-0.16024124964610742,0.22619728256246074,0.5354803238837238,0.006277249749185643,0.14278652363146593,2,False
"neg(log(ts_sum100(mul(turnover, intraday))))",full,0.004,0.05929693543554215,0.4453918801676605,0.008294091302515127,-0.15781671847108414,0.052555213306090934,0.1659855911165708,-0.01059045827606564,0.23513135047863176,5,False
"cs_scale(add(corr200(mul(high, true_range), ret), ts_mean60(min(div(add(mul(mul(turn_ratio, ts_mean5(ts_std20(cs_rank(log(turnover))))), ts_std20(add(mul(turn_ratio, ts_mean5(ts_mean20(volume))), mul(turn_ratio, corr20(log(cs_demean(turn_ratio)), mktcap))))), close), ts_std60(cs_rank(open))), turn_ratio))))",full,0.004,0.04806005789984642,0.44174035751788826,0.06375390936047176,-0.13549320753817007,0.47053214341029986,0.8312382168446546,0.00285354842784713,0.17105756051303955,0,False
"corr100(true_range, ret)",full,0.004,0.050095752400856286,0.4495778063980093,0.03779881335695068,-0.12485367154572125,0.30274490841151436,0.5292859881898899,-0.0005497279046599024,0.19708474076899066,3,False
"div(turnover, ts_min100(corr100(up_shadow, ln_mktcap)))",full,0.004,0.05081003009462499,0.46542793691671114,-0.029462456260632375,-0.24854823825303107,-0.11853818183429862,-0.6513673857377237,-0.0663708718374405,0.22084129050440082,6,False
"ts_mean60(mul(min(ts_std20(cs_demean(log(amplitude))), ts_std20(cs_rank(open))), min(intraday, hl_ratio)))",full,0.004,0.05183635885644943,0.45398090943445124,0.008674128229285705,-0.17528940835847595,0.04948461125241898,0.15332905210761558,0.03446762684892413,0.2948143346315913,3,False
"ts_rank200(ts_sum100(mul(turnover, intraday)))",full,0.004,0.0423889380575625,0.4422825802821558,-0.02803762050870795,-0.30011999120312804,-0.09342136922072429,-0.43656890932627357,-0.05955250667687406,0.37330412667496815,6,False
ts_rank200(ts_mean10(ts_std20(turnover))),full,0.004,0.048891949984636335,0.4432786840756852,0.003748663016822862,-0.14630380374333762,0.02562245765940018,0.08975157739073743,-0.0328763330985431,0.3561885641149136,5,False
ts_sum100(intraday),full,0.004,0.05629129649559733,0.42301055649080144,0.046044834122945355,-0.10373796971714955,0.4438570973433405,0.5538472788842911,0.025763269307143677,0.2426251887038456,3,False
