date,below_ma60,dd25,dd40,newlow60,n_stocks,med_pb_pct,idx_pos250,idx_gain250
2014-01-02,0.0,0.0,0.0,0.0,247200,,,
2014-01-03,0.0,0.0,0.0,0.0,247200,,,
2014-01-06,0.0,0.0,0.0,0.0,247200,,,
2014-01-07,0.0,0.0,0.0,0.0,247200,,,
2014-01-08,0.0,0.0,0.0,0.0,247200,,,
2014-01-09,0.0,0.0,0.0,0.0,247200,,,
2014-01-10,0.0,0.0,0.0,0.0,247200,,,
2014-01-13,0.0,0.0,0.0,0.0,247200,,,
2014-01-14,0.0,0.0,0.0,0.0,247200,,,
2014-01-15,0.0,0.04,0.02,0.0,247200,,,
2014-01-16,0.0,0.04,0.02,0.0,247200,,,
2014-01-17,0.0,0.07,0.02,0.0,247300,,,
2014-01-20,0.0,0.09,0.02,0.0,247300,,,
2014-01-21,0.0,0.07,0.02,0.0,248100,,,
2014-01-22,0.0,0.05,0.02,0.0,248200,,,
2014-01-23,0.0,0.05,0.02,0.0,249000,,,
2014-01-24,0.0,0.05,0.02,0.0,249100,,,
2014-01-27,0.0,0.07,0.02,0.0,249900,,,
2014-01-28,0.0,0.11,0.02,0.0,250800,,,
2014-01-29,11.35,0.09,0.02,0.0,251500,,,
2014-01-30,14.85,0.11,0.02,0.0,251500,,,
2014-02-07,10.92,0.04,0.02,0.0,251500,,,
2014-02-10,3.95,0.04,0.02,0.0,251600,,,
2014-02-11,3.22,0.04,0.02,0.0,251700,,,
2014-02-12,2.82,0.02,0.0,0.0,251700,,,
2014-02-13,4.49,0.02,0.0,0.0,251700,,,
2014-02-14,3.22,0.02,0.0,0.0,251700,,,
2014-02-17,2.25,0.02,0.0,0.0,251700,,,
2014-02-18,3.4,0.02,0.0,0.0,251700,,,
2014-02-19,3.06,0.0,0.0,1.34,252000,,,
2014-02-20,4.27,0.0,0.0,1.54,252000,,,
2014-02-21,6.21,0.0,0.0,1.68,252000,,,
2014-02-24,10.45,0.0,0.0,2.81,252000,,,
2014-02-25,21.02,0.05,0.0,5.59,252000,,,
2014-02-26,20.41,0.14,0.0,3.77,252000,,,
2014-02-27,23.5,0.33,0.02,5.81,252000,,,
2014-02-28,20.8,0.16,0.02,2.52,252000,,,
2014-03-03,15.05,0.16,0.02,1.61,252000,,,
2014-03-04,15.44,0.18,0.04,2.14,252000,,,
2014-03-05,16.33,0.18,0.05,2.15,252000,,,
2014-03-06,16.2,0.18,0.05,1.92,252000,,,
2014-03-07,17.47,0.2,0.05,2.39,252000,,,
2014-03-10,26.72,0.85,0.07,9.14,252000,,,
2014-03-11,26.29,0.96,0.07,4.4,252000,,,
2014-03-12,26.76,0.89,0.07,3.78,252000,,,
2014-03-13,23.66,0.63,0.05,1.32,252000,,,
2014-03-14,24.43,0.71,0.07,2.44,252000,,,
2014-03-17,20.04,0.27,0.05,1.09,252000,,,
2014-03-18,19.14,0.22,0.05,1.07,252000,,,
2014-03-19,19.07,0.27,0.07,1.76,252000,,,
2014-03-20,24.64,0.78,0.09,4.54,252000,,,
2014-03-21,19.63,0.62,0.13,1.2,252000,,,
2014-03-24,17.58,0.51,0.11,1.81,252000,,,
2014-03-25,17.58,0.58,0.11,1.3,252000,,,
2014-03-26,17.4,0.47,0.09,1.01,252000,,,
2014-03-27,21.24,0.8,0.09,3.11,252000,,,
2014-03-28,25.2,1.41,0.11,5.96,252000,,,
2014-03-31,26.85,1.52,0.13,4.73,252000,,,
2014-04-01,23.97,1.0,0.11,1.14,252000,,,
2014-04-02,23.74,1.07,0.13,2.17,252000,,,
2014-04-03,23.92,0.71,0.18,1.45,252000,,,
2014-04-04,21.94,0.53,0.22,0.81,252000,,,
2014-04-08,19.28,0.53,0.22,0.8,252000,,,
2014-04-09,17.73,0.36,0.22,0.69,252000,,,
2014-04-10,16.51,0.38,0.24,0.8,252000,,,
2014-04-11,18.0,0.53,0.29,0.87,252000,,,
2014-04-14,16.37,0.53,0.33,0.71,252000,,,
2014-04-15,18.7,0.54,0.33,0.89,252000,,,
2014-04-16,18.63,0.62,0.36,1.1,252000,,,
2014-04-17,18.88,0.56,0.36,1.07,252000,,,
2014-04-18,18.98,0.54,0.36,1.09,252000,,,
2014-04-21,24.24,0.63,0.45,2.25,252000,,,
2014-04-22,26.65,0.8,0.56,3.84,252000,,,
2014-04-23,27.21,0.96,0.69,3.71,252000,,,
2014-04-24,29.28,1.01,0.71,5.45,252000,,,
2014-04-25,33.48,1.07,0.81,10.83,252000,,,
2014-04-28,37.43,1.52,0.87,19.37,252000,,,
2014-04-29,36.43,1.43,0.94,3.39,252000,,,
2014-04-30,35.18,1.5,1.0,2.37,252000,,,
2014-05-05,33.89,1.32,0.91,1.88,252000,,,
2014-05-06,33.1,1.23,0.81,1.3,252000,,,
2014-05-07,34.89,1.7,0.91,5.76,252000,,,
2014-05-08,34.73,1.74,1.01,4.44,252000,,,
2014-05-09,35.22,2.05,1.03,8.02,252000,,,
2014-05-12,31.69,1.85,1.0,1.27,252000,,,
2014-05-13,32.27,1.96,1.12,1.83,252000,,,
2014-05-14,32.03,2.1,1.2,1.77,252000,,,
2014-05-15,34.27,2.59,1.29,5.59,252000,,,
2014-05-16,34.29,2.77,1.45,6.23,252000,,,
2014-05-19,35.09,2.88,1.54,6.61,252000,,,
2014-05-20,34.87,2.68,1.59,4.02,252000,,,
2014-05-21,33.53,2.57,1.47,1.9,252000,,,
2014-05-22,33.51,2.61,1.45,2.79,252000,,,
2014-05-23,32.1,2.77,1.34,1.88,252000,,,
