date,top10,top10_pctile_3y,top10_pctile_10y
20050104,0.630015,,
20050105,0.589197,,
20050106,0.581054,,
20050107,0.579308,,
20050110,0.580075,,
20050111,0.557718,,
20050112,0.532417,,
20050113,0.545251,,
20050114,0.559382,,
20050117,0.52951,,
20050118,0.554994,,
20050119,0.568194,,
20050120,0.540178,,
20050121,0.57725,,
20050124,0.527131,,
20050125,0.571331,,
20050126,0.540441,,
20050127,0.542096,,
20050128,0.491103,,
20050131,0.493423,,
20050201,0.538332,,
20050202,0.566095,,
20050203,0.595217,,
20050204,0.604543,,
20050216,0.579434,,
20050217,0.577721,,
20050218,0.563192,,
20050221,0.557944,,
20050222,0.489479,,
20050223,0.49855,,
20050224,0.498626,,
20050225,0.494597,,
20050228,0.502285,,
20050301,0.492227,,
20050302,0.517732,,
20050303,0.500029,,
20050304,0.519997,,
20050307,0.521549,,
20050308,0.509568,,
20050309,0.506033,,
20050310,0.483529,,
20050311,0.513267,,
20050314,0.521923,,
20050315,0.513722,,
20050316,0.524866,,
20050317,0.525455,,
20050318,0.502338,,
20050321,0.51571,,
20050322,0.513633,,
20050323,0.533598,,
20050324,0.576114,,
20050325,0.524257,,
20050328,0.504329,,
20050329,0.53209,,
20050330,0.489095,,
20050331,0.497644,,
20050401,0.542677,,
20050404,0.556096,,
20050405,0.552665,,
20050406,0.56545,,
20050407,0.517827,,
20050408,0.501121,,
20050411,0.51634,,
20050412,0.518724,,
20050413,0.508293,,
20050414,0.505714,,
20050415,0.485237,,
20050418,0.520391,,
20050419,0.560218,,
20050420,0.492792,,
20050421,0.496877,,
20050422,0.497416,,
20050425,0.510504,,
20050426,0.512984,,
20050427,0.523783,,
20050428,0.505558,,
20050429,0.537205,,
20050509,0.526907,,
20050510,0.555824,,
20050511,0.555327,,
20050512,0.582516,,
20050513,0.573951,,
20050516,0.541915,,
20050517,0.516457,,
20050518,0.551314,,
20050519,0.527205,,
20050520,0.507344,,
20050523,0.512082,,
20050524,0.541257,,
20050525,0.482151,,
20050526,0.487351,,
20050527,0.528359,,
20050530,0.51744,,
20050531,0.525961,,
20050601,0.544923,,
20050602,0.568847,,
20050603,0.567871,,
20050606,0.553761,,
20050607,0.549671,,
20050608,0.524125,,
20050609,0.533824,,
20050610,0.567645,,
20050613,0.55273,,
20050614,0.537977,,
20050615,0.548035,,
20050616,0.578401,,
20050617,0.624866,,
20050620,0.581972,,
20050621,0.564514,,
20050622,0.581053,,
20050623,0.547734,,
20050624,0.570959,,
20050627,0.504881,,
20050628,0.544544,,
20050629,0.585656,,
20050630,0.536757,,
20050701,0.475403,,
20050704,0.48418,,
20050705,0.606596,,
20050706,0.561578,,
20050707,0.547333,,
20050708,0.487096,,
20050711,0.525606,,
20050712,0.589188,,
20050713,0.556988,,
20050714,0.557815,,
20050715,0.508319,,
20050718,0.51639,,
20050719,0.559412,,
20050720,0.560285,,
20050721,0.564027,,
20050722,0.566531,,
20050725,0.570156,,
20050726,0.569166,,
20050727,0.532037,,
20050728,0.522407,,
20050729,0.528514,,
20050801,0.527046,,
20050802,0.482558,,
20050803,0.479438,,
20050804,0.498069,,
20050805,0.491603,,
20050808,0.452783,,
20050809,0.45461,,
20050810,0.443101,,
20050811,0.465811,,
20050812,0.451346,,
20050815,0.50012,,
20050816,0.442861,,
20050817,0.405356,,
20050818,0.446685,,
20050819,0.452226,,
20050822,0.513548,,
20050823,0.465506,,
